author,author-pid,top_venue_count,total_weight,closeness_centrality,normalized_degree_centrality
Tat-Seng Chua,24/6606,20,297,0.3112239263715923,0.03026288974933768
Xiaoou Tang,1214889,14,278,0.1987297554779295,0.02832687996739352
Dahua Lin,53/6088,11,273,0.16802913094561608,0.02781740370898716
Chunhua Shen,56/1673,10,194,0.19709204592407017,0.0197676788261667
Yi Tay,188/6350,9,209,0.2560111181565488,0.021296107601385776
Byron Choi,07/1560,8,151,0.2874429828920822,0.01538618300387202
James Cheng,829619,8,111,0.25849077356602984,0.011310372936621153
Chi-Wing Fu,38/803,8,98,0.26504641954325964,0.009985734664764621
Yiqun Hu,44/3470,8,78,0.27220513259080786,0.00794782963113919
Zheng-Jun Zha,23/1818,8,77,0.24926858209349853,0.007845934379457917
Steven C. H. Hoi,h/StevenCHHoi,7,214,0.2995882659907696,0.021805583859792133
Xiaokui Xiao,33/1903,7,175,0.27034711746899764,0.01783166904422254
Chenliang Li,52/9457,7,109,0.2857522195167692,0.01110658243325861
Raymond Chi-Wing Wong,w/RaymondChiWingWong,7,91,0.2637983221154087,0.009272467902995721
Yang Yang 0002,48/450-2,7,90,0.24688347357384421,0.009170572651314449
Shih-Fu Chang,c/ShihFuChang,6,76,0.23263202577270536,0.0077440391277766455
Shuigeng Zhou,52/6744,6,72,0.24560605296249366,0.007336458121051559
Huan-Bo Luan,55/5812,6,57,0.2501912790256866,0.005808029345832484
Wei Liu 0005,49/3283-5,6,53,0.24016120998394927,0.005400448339107398
Mohan S. Kankanhalli,625906,6,32,0.27477923327019066,0.0032606480538006927
Lei Ma 0003,20/6534-3,5,387,0.22239821348012925,0.03943346240065213
Xiaofei Xie,127/0713,5,379,0.24960878487895047,0.03861830038720196
Felix Juefei-Xu,35/11103,5,232,0.19078495532489842,0.023639698390055024
Ping Luo 0002,54/4989-2,5,210,0.16798827666156294,0.021398002853067047
Juyong Zhang,38/5125,5,151,0.24580993987051483,0.01538618300387202
Kai Chen,181/2839,5,140,0.22254148052767925,0.014265335235378032
Qing Guo 0005,25/3038-5,5,131,0.19077910194834674,0.013348277970246587
Meng Wang 0001,93/6765-1,5,119,0.24451472804468619,0.012125534950071327
Ian Reid 0001,r/IanDReid1,5,115,0.164499723523304,0.01171795394334624
Xiangnan He 0001,59/1007,5,97,0.2401704858408101,0.00988383941308335
Huey-Eng Chua,94/11104,5,72,0.24876996515060068,0.007336458121051559
Shuicheng Yan,y/ShuichengYan,5,66,0.2688509684337591,0.006725086610963929
Richang Hong,59/1501,5,60,0.23968908950022796,0.006113715100876299
Lisi Chen,37/10606,5,57,0.23549532470760895,0.005808029345832484
Dayong Wang,2029014,5,46,0.26849110746564825,0.004687181577338496
Tao Guo,43/56,5,37,0.24958874724670524,0.003770124312207051
Anthony K. H. Tung,t/AnthonyKHTung,5,31,0.2623403809182135,0.003158752802119421
Shaojing Fan,78/4086,5,28,0.24665823280065108,0.0028530670470756064
Yong Luo 0002,57/5272-2,4,161,0.2598626791301105,0.016405135520684736
Shuo Yang 0003,78/1102-3,4,143,0.16797920062954277,0.014571020990421846
Ling-Yu Duan,d/LingyuDuan,4,104,0.2808986786332572,0.010597106174852253
Fayao Liu,91/9687,4,95,0.20351019633135048,0.009680048909720807
Xiaogang Wang 0001,91/6236-1,4,84,0.16797012557818514,0.008559201141226819
Jiuxiang Gu,173/4935,4,79,0.19928385247906977,0.00804972488282046
Jianqiang Huang,207/1901,4,72,0.26534047573733366,0.007336458121051559
Chi Zhang,91/195,4,69,0.27134988867622684,0.007030772366007744
Xin Cao 0001,77/2970-1,4,68,0.24827333901239376,0.006928877114326473
Shaogang Gong,17/4389,4,68,0.22055238876727015,0.006928877114326473
Quan Yuan 0001,29/5782-1,4,66,0.271196042082272,0.006725086610963929
Anton van den Hengel,v/AntonvandenHengel,4,66,0.1970358391870596,0.006725086610963929
Liqiang Nie,92/8277,4,62,0.269760706646324,0.006317505604238842
Jun Xiao 0001,71/2308-1,4,62,0.18316457182551515,0.006317505604238842
Tao Xiang,22/4460,4,55,0.20214733100043608,0.005604238842469941
Kaiyu Feng,140/7434,4,51,0.28177696433317084,0.005196657835744854
Long Chen 0016,64/5725-16,4,50,0.26664897293758205,0.005094762584063582
Zongyang Ma,117/4275,4,48,0.26899052856791167,0.004890972080701039
Fumin Shen,92/10934,4,46,0.2411391029939277,0.004687181577338496
Shenghua Gao,63/7642,4,41,0.2538477322380966,0.004177705318932138
Sheng Yang,69/4104,4,35,0.24463978475507175,0.003566333808844508
Chen Huang,22/5390,4,34,0.16797012557818514,0.0034644385571632364
Ba Quan Truong,99/11145,4,27,0.25908312357420166,0.0027511717953943348
Minh-Tri Pham,86/4091,4,11,0.24550908278997213,0.0011208477684939882
Ee-Peng Lim,l/EePengLim,3,474,0.2949276251614691,0.04829834929692276
Chao Dong,16/1278,3,260,0.24823369456704247,0.02649276543713063
Ke Yu,23/2089,3,241,0.24634553715650162,0.024556755655186467
